timestamp,day,hour_of_day,temperature_C,humidity_pct,wind_speed_ms,ref_pm25,ref_pm10,sensor1_pm25,sensor1_pm10,sensor2_pm25,sensor2_pm10,sensor3_pm25,sensor3_pm10,sensor4_pm25,sensor4_pm10,sensor5_pm25,sensor5_pm10
2022-01-01 00:00:00,0.0,0.0,28.07,32.08,6.74,17.0,70.0,22.28,76.7,23.2,99.38,20.74,65.68,25.19,90.62,23.89,101.6
2022-01-01 01:00:00,0.0417,1.0,42.97,52.15,6.64,101.0,65.0,128.96,82.99,137.13,101.68,134.25,80.83,154.16,99.97,175.41,116.69
2022-01-01 02:00:00,0.0833,2.0,27.01,38.85,9.79,70.0,97.0,83.85,123.61,97.64,152.48,95.82,105.08,113.75,142.42,114.2,142.72
2022-01-01 03:00:00,0.125,3.0,33.29,47.8,0.85,82.0,112.0,105.24,148.36,124.47,176.68,112.84,138.51,147.75,165.17,144.45,171.2
2022-01-01 04:00:00,0.1667,4.0,15.43,20.38,8.98,118.0,109.0,142.46,109.28,136.16,124.47,125.66,91.86,154.25,123.42,155.89,140.61
2022-01-01 05:00:00,0.2083,5.0,28.11,77.12,3.32,93.0,108.0,174.98,196.92,184.74,235.16,194.79,164.43,216.44,204.06,219.58,239.69
2022-01-01 06:00:00,0.25,6.0,30.24,34.42,4.87,38.0,36.0,42.64,45.65,50.91,66.95,50.16,23.4,53.56,36.82,64.7,56.18
2022-01-01 07:00:00,0.2917,7.0,44.32,34.92,1.24,84.0,190.0,83.23,177.61,87.66,222.68,98.4,178.68,96.29,215.7,101.32,255.13
2022-01-01 08:00:00,0.3333,8.0,41.63,69.06,10.85,48.0,167.0,79.79,238.37,77.2,308.2,89.23,213.85,102.56,258.21,107.82,281.89
2022-01-01 09:00:00,0.375,9.0,42.99,24.69,7.39,122.0,89.0,104.41,64.9,120.62,93.74,131.46,61.31,132.26,81.11,133.5,94.85
2022-01-01 10:00:00,0.4167,10.0,30.64,39.01,4.12,112.0,50.0,129.84,68.52,158.23,66.27,139.51,46.85,170.36,66.78,176.72,82.72
2022-01-01 11:00:00,0.4583,11.0,22.56,61.96,5.21,15.0,145.0,26.97,223.38,29.25,295.1,35.43,151.93,29.88,241.47,39.62,309.68
2022-01-01 12:00:00,0.5,12.0,19.0,38.6,6.22,45.0,109.0,61.19,136.99,63.14,159.48,56.89,128.82,81.12,154.31,70.3,160.37
2022-01-01 13:00:00,0.5417,13.0,19.29,38.34,6.24,114.0,96.0,150.24,110.65,189.47,144.94,171.66,99.37,180.21,126.31,202.04,173.51
2022-01-01 14:00:00,0.5833,14.0,41.35,22.48,6.46,100.0,85.0,82.54,66.11,88.62,108.08,100.63,62.34,118.16,82.79,105.37,91.86
2022-01-01 15:00:00,0.625,15.0,32.7,75.93,2.55,39.0,111.0,67.99,204.89,83.63,228.0,88.15,166.57,85.95,205.8,84.31,260.54
2022-01-01 16:00:00,0.6667,16.0,15.22,34.39,4.43,32.0,13.0,110.42,16.4,43.88,21.75,48.53,16.59,49.64,12.81,38.98,19.87
2022-01-01 17:00:00,0.7083,17.0,33.58,31.34,1.72,5.0,58.0,3.6,59.19,0.0,69.93,15.94,50.63,6.03,68.05,8.44,79.71
2022-01-01 18:00:00,0.75,18.0,34.19,46.79,4.71,107.0,199.0,145.71,232.83,149.43,304.2,161.58,213.35,171.49,277.14,183.97,295.47
